danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.886	0.511	1	-4.691	0	0.0972	0.531	0.0501	0.112	0.261	127.898	audio_features	0xrdZMsJIaxoTHAB4bvGnu	spotify:track:0xrdZMsJIaxoTHAB4bvGnu	https://api.spotify.com/v1/tracks/0xrdZMsJIaxoTHAB4bvGnu	https://api.spotify.com/v1/audio-analysis/0xrdZMsJIaxoTHAB4bvGnu	173840	4
0.691	0.389	10	-13.621	0	0.0847	0.0209	0.892	0.0841	0.0339	186.038	audio_features	4HdwuGzo4qDZQSapL9LHeR	spotify:track:4HdwuGzo4qDZQSapL9LHeR	https://api.spotify.com/v1/tracks/4HdwuGzo4qDZQSapL9LHeR	https://api.spotify.com/v1/audio-analysis/4HdwuGzo4qDZQSapL9LHeR	263973	3
0.592	0.869	3	-4.613	0	0.0407	0.000693	6.37e-05	0.269	0.686	109.982	audio_features	4NbqbahL9mraBoB1S9YAdg	spotify:track:4NbqbahL9mraBoB1S9YAdg	https://api.spotify.com/v1/tracks/4NbqbahL9mraBoB1S9YAdg	https://api.spotify.com/v1/audio-analysis/4NbqbahL9mraBoB1S9YAdg	192911	4
0.543	0.859	6	-3.592	1	0.0371	0.028	0.0	0.235	0.736	138.947	audio_features	07THAZa24N9xFHZcYuLRVK	spotify:track:07THAZa24N9xFHZcYuLRVK	https://api.spotify.com/v1/tracks/07THAZa24N9xFHZcYuLRVK	https://api.spotify.com/v1/audio-analysis/07THAZa24N9xFHZcYuLRVK	169907	4
0.231	0.983	9	-4.968	1	0.0813	0.368	0.000849	0.96	0.578	162.133	audio_features	3eYoqC0xrSTreWX8Ple3wI	spotify:track:3eYoqC0xrSTreWX8Ple3wI	https://api.spotify.com/v1/tracks/3eYoqC0xrSTreWX8Ple3wI	https://api.spotify.com/v1/audio-analysis/3eYoqC0xrSTreWX8Ple3wI	160267	4
0.407	0.932	11	-5.166	0	0.0656	0.0105	0.000129	0.36	0.821	120.0	audio_features	2MycpboRozeeoFNqWGrnak	spotify:track:2MycpboRozeeoFNqWGrnak	https://api.spotify.com/v1/tracks/2MycpboRozeeoFNqWGrnak	https://api.spotify.com/v1/audio-analysis/2MycpboRozeeoFNqWGrnak	203813	4
0.609	0.905	8	-6.79	0	0.0357	0.00112	0.0498	0.0697	0.197	108.042	audio_features	6qJx0XycjCfHFXnWpmH8lO	spotify:track:6qJx0XycjCfHFXnWpmH8lO	https://api.spotify.com/v1/tracks/6qJx0XycjCfHFXnWpmH8lO	https://api.spotify.com/v1/audio-analysis/6qJx0XycjCfHFXnWpmH8lO	245093	4
0.87	0.739	2	-6.362	1	0.0594	0.107	3.9e-05	0.0449	0.619	130.982	audio_features	6uqmS2P0C2lRpN9k8hNy3N	spotify:track:6uqmS2P0C2lRpN9k8hNy3N	https://api.spotify.com/v1/tracks/6uqmS2P0C2lRpN9k8hNy3N	https://api.spotify.com/v1/audio-analysis/6uqmS2P0C2lRpN9k8hNy3N	213889	4
0.44	0.0768	9	-14.846	0	0.0333	0.905	1.56e-06	0.0889	0.336	76.779	audio_features	7zVtJsdWDKTvykPA6WMcL9	spotify:track:7zVtJsdWDKTvykPA6WMcL9	https://api.spotify.com/v1/tracks/7zVtJsdWDKTvykPA6WMcL9	https://api.spotify.com/v1/audio-analysis/7zVtJsdWDKTvykPA6WMcL9	218667	4
0.481	0.952	7	-4.609	1	0.141	9.33e-05	0.00093	0.107	0.389	103.392	audio_features	2CQ3jtUjKDeoik9rKqE0Zh	spotify:track:2CQ3jtUjKDeoik9rKqE0Zh	https://api.spotify.com/v1/tracks/2CQ3jtUjKDeoik9rKqE0Zh	https://api.spotify.com/v1/audio-analysis/2CQ3jtUjKDeoik9rKqE0Zh	186359	3
